"id","date","open","high","low","close","adj_close","volume","stock_id"
"1770","2019-02-28","1119.0000000000000000","1133.9899902343750000","1118.4100341796875000","1126.5500488281250000","1126.5500488281250000","1371100","GOOGL"
"1771","2019-03-01","1131.0000000000000000","1150.0000000000000000","1131.0000000000000000","1148.5200195312500000","1148.5200195312500000","1704300","GOOGL"
"1772","2019-03-04","1154.5600585937500000","1165.5200195312500000","1138.2500000000000000","1153.4200439453125000","1153.4200439453125000","1774500","GOOGL"
"1773","2019-03-05","1156.0000000000000000","1176.4899902343750000","1153.0200195312500000","1169.1899414062500000","1169.1899414062500000","2004700","GOOGL"
"1774","2019-03-06","1171.7600097656250000","1174.7399902343750000","1163.0500488281250000","1164.9399414062500000","1164.9399414062500000","1180100","GOOGL"
"1775","2019-03-07","1160.5000000000000000","1163.5799560546875000","1141.7099609375000000","1150.8499755859375000","1150.8499755859375000","1504300","GOOGL"
"1776","2019-03-08","1133.9000244140625000","1153.4499511718750000","1130.1999511718750000","1149.9699707031250000","1149.9699707031250000","1184700","GOOGL"
"1777","2019-03-11","1152.0000000000000000","1179.9100341796875000","1151.5699462890625000","1179.2600097656250000","1179.2600097656250000","1501600","GOOGL"
"1778","2019-03-12","1182.3000488281250000","1205.7099609375000000","1182.3000488281250000","1197.2500000000000000","1197.2500000000000000","2111000","GOOGL"
"1779","2019-03-13","1205.9300537109375000","1207.1199951171875000","1197.9100341796875000","1199.0600585937500000","1199.0600585937500000","1294400","GOOGL"
"1780","2019-03-14","1199.0200195312500000","1204.6999511718750000","1191.2299804687500000","1192.5300292968750000","1192.5300292968750000","1365100","GOOGL"
"1781","2019-03-15","1198.0000000000000000","1201.7199707031250000","1187.0100097656250000","1190.3000488281250000","1190.3000488281250000","2594300","GOOGL"
"1782","2019-03-18","1189.6899414062500000","1194.9499511718750000","1181.4799804687500000","1188.5500488281250000","1188.5500488281250000","1222100","GOOGL"
"1783","2019-03-19","1191.7199707031250000","1203.4100341796875000","1189.4599609375000000","1202.4599609375000000","1202.4599609375000000","1489400","GOOGL"
"1784","2019-03-20","1201.4000244140625000","1229.9899902343750000","1199.5899658203125000","1226.4300537109375000","1226.4300537109375000","2075400","GOOGL"
"1785","2019-03-21","1220.0000000000000000","1236.4399414062500000","1216.5799560546875000","1236.1300048828125000","1236.1300048828125000","1407500","GOOGL"
"1786","2019-03-22","1228.8499755859375000","1233.6300048828125000","1206.0000000000000000","1207.6500244140625000","1207.6500244140625000","1721100","GOOGL"
"1787","2019-03-25","1199.5600585937500000","1209.4399414062500000","1190.0000000000000000","1197.3800048828125000","1197.3800048828125000","1378800","GOOGL"
"1788","2019-03-26","1205.1899414062500000","1207.6500244140625000","1181.7600097656250000","1189.8399658203125000","1189.8399658203125000","1537600","GOOGL"
"1789","2019-03-27","1191.9200439453125000","1191.9200439453125000","1164.2299804687500000","1178.0100097656250000","1178.0100097656250000","1471400","GOOGL"
"1790","2019-03-28","1175.5000000000000000","1177.2500000000000000","1163.4300537109375000","1172.2700195312500000","1172.2700195312500000","1120100","GOOGL"
"1791","2019-03-29","1180.1800537109375000","1183.9699707031250000","1166.3800048828125000","1176.8900146484375000","1176.8900146484375000","1544500","GOOGL"
"1792","2019-04-01","1187.5400390625000000","1200.1999511718750000","1186.3599853515625000","1198.9799804687500000","1198.9799804687500000","1385300","GOOGL"
"1793","2019-04-02","1200.0500488281250000","1205.8100585937500000","1191.2399902343750000","1205.5400390625000000","1205.5400390625000000","914400","GOOGL"
"1794","2019-04-03","1212.6999511718750000","1220.5999755859375000","1205.0799560546875000","1210.8100585937500000","1210.8100585937500000","1109600","GOOGL"
"1795","2019-04-04","1211.2900390625000000","1220.5500488281250000","1209.0400390625000000","1219.4499511718750000","1219.4499511718750000","1051100","GOOGL"
"1796","2019-04-05","1219.3000488281250000","1220.3900146484375000","1210.0300292968750000","1211.4499511718750000","1211.4499511718750000","1000600","GOOGL"
"1797","2019-04-08","1211.1099853515625000","1213.9499511718750000","1204.6999511718750000","1208.2800292968750000","1208.2800292968750000","1087500","GOOGL"
"1798","2019-04-09","1201.8900146484375000","1207.1500244140625000","1198.3800048828125000","1202.6899414062500000","1202.6899414062500000","983400","GOOGL"
"1799","2019-04-10","1205.0899658203125000","1208.9399414062500000","1200.6600341796875000","1206.4499511718750000","1206.4499511718750000","775500","GOOGL"
"1800","2019-04-11","1208.9000244140625000","1212.7399902343750000","1204.5400390625000000","1209.5899658203125000","1209.5899658203125000","849900","GOOGL"
"1801","2019-04-12","1215.6199951171875000","1223.0500488281250000","1213.2900390625000000","1222.7299804687500000","1222.7299804687500000","1215600","GOOGL"
"1802","2019-04-15","1224.0899658203125000","1229.3000488281250000","1214.5600585937500000","1226.5300292968750000","1226.5300292968750000","1189800","GOOGL"
"1803","2019-04-16","1230.0000000000000000","1235.9799804687500000","1225.0400390625000000","1231.9100341796875000","1231.9100341796875000","1131100","GOOGL"
"1804","2019-04-17","1237.0000000000000000","1245.0999755859375000","1232.9000244140625000","1240.1400146484375000","1240.1400146484375000","1518300","GOOGL"
"1805","2019-04-18","1245.0000000000000000","1245.9399414062500000","1239.4100341796875000","1241.4699707031250000","1241.4699707031250000","1237500","GOOGL"
"1806","2019-04-22","1236.6700439453125000","1254.3399658203125000","1233.3699951171875000","1253.7600097656250000","1253.7600097656250000","954200","GOOGL"
"1807","2019-04-23","1256.6400146484375000","1274.4300537109375000","1251.9699707031250000","1270.5899658203125000","1270.5899658203125000","1593400","GOOGL"
"1808","2019-04-24","1270.5899658203125000","1274.0000000000000000","1259.8100585937500000","1260.0500488281250000","1260.0500488281250000","1169800","GOOGL"
"1809","2019-04-25","1270.3000488281250000","1272.8000488281250000","1258.0000000000000000","1267.3399658203125000","1267.3399658203125000","1567200","GOOGL"
"1810","2019-04-26","1273.3800048828125000","1278.9100341796875000","1265.0000000000000000","1277.4200439453125000","1277.4200439453125000","1361400","GOOGL"
"1811","2019-04-29","1280.5100097656250000","1296.9699707031250000","1271.7099609375000000","1296.1999511718750000","1296.1999511718750000","3618400","GOOGL"
"1812","2019-04-30","1190.6300048828125000","1200.9799804687500000","1183.0000000000000000","1198.9599609375000000","1198.9599609375000000","6658900","GOOGL"
"1813","2019-05-01","1197.5000000000000000","1199.2500000000000000","1171.6800537109375000","1173.3199462890625000","1173.3199462890625000","3717000","GOOGL"
"1814","2019-05-02","1172.5999755859375000","1179.3800048828125000","1158.3299560546875000","1166.5100097656250000","1166.5100097656250000","2254900","GOOGL"
"1815","2019-05-03","1177.4100341796875000","1191.4000244140625000","1173.5500488281250000","1189.5500488281250000","1189.5500488281250000","2079400","GOOGL"
